stage,rq,family,alignment,task,axis,condition,metric,estimate,value_text,ci_low,ci_high,p,q,n,is_primary,analysis_role,source_artifact,source_key
v2,rq1_geometry_transformation,qwen,instruct_vs_base,reader,valence,matched_plain,procrustes_distortion,0.5328941089766366,,,,,,,True,primary,v2/results/derived/v2_cross_family_summary.json,com_distortion_reader
v2,rq1_geometry_transformation,qwen,instruct_vs_base,reader,arousal,matched_plain,procrustes_distortion,0.5328941089766366,,,,,,,True,primary,v2/results/derived/v2_cross_family_summary.json,com_distortion_reader
v2,rq1_geometry_transformation,qwen,instruct_vs_base,self,valence,matched_plain,procrustes_distortion,0.5124030608151641,,,,,,,True,primary,v2/results/derived/v2_cross_family_summary.json,com_distortion_self
v2,rq1_geometry_transformation,qwen,instruct_vs_base,self,arousal,matched_plain,procrustes_distortion,0.5124030608151641,,,,,,,True,primary,v2/results/derived/v2_cross_family_summary.json,com_distortion_self
v2,rq1_geometry_transformation,llama,instruct_vs_base,reader,valence,matched_plain,procrustes_distortion,0.956300213932991,,,,,,,True,primary,v2/results/derived/v2_cross_family_summary.json,com_distortion_reader
v2,rq1_geometry_transformation,llama,instruct_vs_base,reader,arousal,matched_plain,procrustes_distortion,0.956300213932991,,,,,,,True,primary,v2/results/derived/v2_cross_family_summary.json,com_distortion_reader
v2,rq1_geometry_transformation,llama,instruct_vs_base,self,valence,matched_plain,procrustes_distortion,1.1040873154997826,,,,,,,True,primary,v2/results/derived/v2_cross_family_summary.json,com_distortion_self
v2,rq1_geometry_transformation,llama,instruct_vs_base,self,arousal,matched_plain,procrustes_distortion,1.1040873154997826,,,,,,,True,primary,v2/results/derived/v2_cross_family_summary.json,com_distortion_self
v2,rq1_geometry_transformation,gemma,instruct_vs_base,reader,valence,matched_plain,procrustes_distortion,3.459196081528297,,,,,,,True,primary,v2/results/derived/v2_cross_family_summary.json,com_distortion_reader
v2,rq1_geometry_transformation,gemma,instruct_vs_base,reader,arousal,matched_plain,procrustes_distortion,3.459196081528297,,,,,,,True,primary,v2/results/derived/v2_cross_family_summary.json,com_distortion_reader
v2,rq1_geometry_transformation,gemma,instruct_vs_base,self,valence,matched_plain,procrustes_distortion,9.055898340848776,,,,,,,True,primary,v2/results/derived/v2_cross_family_summary.json,com_distortion_self
v2,rq1_geometry_transformation,gemma,instruct_vs_base,self,arousal,matched_plain,procrustes_distortion,9.055898340848776,,,,,,,True,primary,v2/results/derived/v2_cross_family_summary.json,com_distortion_self
